Sample	City	Environment	ARG_Class	Abundance
DRR480202	Kolkata	Controlled	CAE-1	472
DRR480202	Kolkata	Controlled	CAM-1	2
DRR480202	Kolkata	Controlled	CAM-2	3
DRR480202	Kolkata	Controlled	CAR-1	2367
DRR480202	Kolkata	Controlled	CARB-1	6
DRR480202	Kolkata	Controlled	CARB-10	4
DRR480202	Kolkata	Controlled	CARB-12	10
DRR480202	Kolkata	Controlled	CARB-14	23
DRR480202	Kolkata	Controlled	CARB-19	3
DRR480202	Kolkata	Controlled	CARB-2	2
DRR480202	Kolkata	Controlled	CARB-22	2
DRR480202	Kolkata	Controlled	CARB-4	14
DRR480202	Kolkata	Controlled	CARB-48	1
DRR480202	Kolkata	Controlled	CARB-5	235
DRR480202	Kolkata	Controlled	CARB-54	1
DRR480202	Kolkata	Controlled	CARB-57	1
DRR480202	Kolkata	Controlled	CARB-58	9
DRR480202	Kolkata	Controlled	CARB-6	10
DRR480202	Kolkata	Controlled	CARB-7	9
DRR480202	Kolkata	Controlled	CARB-8	1
DRR480202	Kolkata	Controlled	CARB-9	54
DRR480202	Kolkata	Controlled	CAU-1	444
DRR480202	Kolkata	Controlled	CBP-1	34
DRR480202	Kolkata	Controlled	CDA-1	16
DRR480202	Kolkata	Controlled	CDD-1	19
DRR480202	Kolkata	Controlled	CDD-2	52
DRR480202	Kolkata	Controlled	CFE-2	6
DRR480202	Kolkata	Controlled	CGA-1	175
DRR480202	Kolkata	Controlled	CGB-1	14
DRR480202	Kolkata	Controlled	CHM-1	69
DRR480202	Kolkata	Controlled	CIA-1	28
DRR480202	Kolkata	Controlled	CIA-3	4
DRR480202	Kolkata	Controlled	CIA-4	1
DRR480202	Kolkata	Controlled	CIM-1	62
DRR480202	Kolkata	Controlled	CKO-1	4
DRR480202	Kolkata	Controlled	CMA-1	26
DRR480202	Kolkata	Controlled	CMA-2	148
DRR480202	Kolkata	Controlled	CME-1	61
DRR480202	Kolkata	Controlled	CME-2	10
DRR480202	Kolkata	Controlled	CME-3	21
DRR480202	Kolkata	Controlled	CMH-1	9
DRR480202	Kolkata	Controlled	CMH-10	2
DRR480202	Kolkata	Controlled	CMH-11	10
DRR480202	Kolkata	Controlled	CMH-12	1
DRR480202	Kolkata	Controlled	CMH-19	3
DRR480202	Kolkata	Controlled	CMH-2	5
DRR480202	Kolkata	Controlled	CMH-20	73
DRR480202	Kolkata	Controlled	CMH-25	4
DRR480202	Kolkata	Controlled	CMH-27	1
DRR480202	Kolkata	Controlled	CMH-3	7
DRR480202	Kolkata	Controlled	CMH-32	3
DRR480202	Kolkata	Controlled	CMH-4	2
DRR480202	Kolkata	Controlled	CMH-5	6
DRR480202	Kolkata	Controlled	CMY-1	42
DRR480202	Kolkata	Controlled	CMY-10	1
DRR480202	Kolkata	Controlled	CMY-104	3
DRR480202	Kolkata	Controlled	CMY-111	2
DRR480202	Kolkata	Controlled	CMY-114	35
DRR480202	Kolkata	Controlled	CMY-115	13
DRR480202	Kolkata	Controlled	CMY-119	1
DRR480202	Kolkata	Controlled	CMY-121	2
DRR480202	Kolkata	Controlled	CMY-122	9
DRR480202	Kolkata	Controlled	CMY-129	5
DRR480202	Kolkata	Controlled	CMY-135	1
DRR480202	Kolkata	Controlled	CMY-139	5
DRR480202	Kolkata	Controlled	CMY-142	1
DRR480202	Kolkata	Controlled	CMY-144	6
DRR480202	Kolkata	Controlled	CMY-147	1
DRR480202	Kolkata	Controlled	CMY-150	18
DRR480202	Kolkata	Controlled	CMY-155	1
DRR480202	Kolkata	Controlled	CMY-157	21
DRR480202	Kolkata	Controlled	CMY-160	1
DRR480202	Kolkata	Controlled	CMY-161	3
DRR480202	Kolkata	Controlled	CMY-163	1
DRR480202	Kolkata	Controlled	CMY-168	4
DRR480202	Kolkata	Controlled	CMY-169	9
DRR480202	Kolkata	Controlled	CMY-170	1
DRR480202	Kolkata	Controlled	CMY-173	1
DRR480202	Kolkata	Controlled	CMY-174	5
DRR480202	Kolkata	Controlled	CMY-178	13
DRR480202	Kolkata	Controlled	CMY-182	6
DRR480202	Kolkata	Controlled	CMY-186	2
DRR480202	Kolkata	Controlled	CMY-190	6
DRR480202	Kolkata	Controlled	CMY-191	1
DRR480202	Kolkata	Controlled	CMY-195	1
DRR480202	Kolkata	Controlled	CMY-21	10
DRR480202	Kolkata	Controlled	CMY-24	1
DRR480202	Kolkata	Controlled	CMY-26	41
DRR480202	Kolkata	Controlled	CMY-39	3
DRR480202	Kolkata	Controlled	CMY-4	7
DRR480202	Kolkata	Controlled	CMY-40	3
DRR480202	Kolkata	Controlled	CMY-41	6
DRR480202	Kolkata	Controlled	CMY-44	57
DRR480202	Kolkata	Controlled	CMY-45	4
DRR480202	Kolkata	Controlled	CMY-49	2
DRR480202	Kolkata	Controlled	CMY-5	1
DRR480202	Kolkata	Controlled	CMY-50	1
DRR480202	Kolkata	Controlled	CMY-51	24
DRR480202	Kolkata	Controlled	CMY-54	2
DRR480202	Kolkata	Controlled	CMY-59	16
DRR480202	Kolkata	Controlled	CMY-60	6
DRR480202	Kolkata	Controlled	CMY-61	7
DRR480202	Kolkata	Controlled	CMY-66	1
DRR480202	Kolkata	Controlled	CMY-69	4
DRR480202	Kolkata	Controlled	CMY-70	3
DRR480202	Kolkata	Controlled	CMY-71	1
DRR480202	Kolkata	Controlled	CMY-73	65
DRR480202	Kolkata	Controlled	CMY-8	12
DRR480202	Kolkata	Controlled	CMY-80	1
DRR480202	Kolkata	Controlled	CMY-83	3
DRR480202	Kolkata	Controlled	CMY-85	1
DRR480202	Kolkata	Controlled	CMY-86	1
DRR480202	Kolkata	Controlled	CMY-89	2
DRR480202	Kolkata	Controlled	CMY-9	12
